c Basic Line Mesh
a 11 622 2
a 11 330 15
a 11 84 14
a 11 887 1
a 11 52 10
a 11 185 2
a 11 808 8
a 11 955 8
a 11 190 2
a 11 436 17
a 11 889 10
a 11 123 18
a 11 654 13
a 11 312 9
a 11 893 16
a 11 560 10
a 11 717 4
a 11 188 2
a 12 275 1
a 12 59 8
a 12 426 4
a 12 377 4
a 12 484 2
a 12 316 4
a 12 218 11
a 12 763 8
a 12 104 13
a 12 926 13
a 12 132 13
a 12 555 4
a 12 753 2
a 12 719 11
a 12 176 19
a 12 516 9
a 12 117 6
a 12 511 1
a 12 88 6
a 12 540 5
a 12 183 10
a 12 772 6
a 13 369 14
a 13 425 16
a 13 240 13
a 13 832 7
a 13 873 6
a 13 643 5
a 13 199 10
a 13 549 14
a 13 797 7
a 13 762 7
a 13 634 13
a 13 357 9
a 13 463 17
a 13 704 3
a 13 902 14
a 13 622 16
a 13 63 3
a 13 151 5
a 13 457 16
a 13 361 5
a 13 42 17
a 13 579 10
a 14 279 10
a 14 163 12
a 14 469 4
a 14 967 3
a 14 368 1
a 14 908 15
a 14 677 14
a 14 152 3
a 14 356 9
a 14 745 10
a 14 497 2
a 14 853 3
a 14 771 10
a 14 829 4
a 15 631 6
a 15 967 12
a 15 896 1
a 15 726 19
a 15 598 5
a 15 228 9
a 15 555 4
a 15 846 4
a 15 331 11
a 15 133 2
a 15 74 9
a 15 285 14
a 15 24 10
a 15 954 17
a 15 238 13
a 15 605 18
a 15 329 9
a 15 201 14
a 15 19 19
a 15 135 11
a 15 275 20
a 16 48 6
a 16 940 15
a 16 262 13
a 16 419 17
a 16 432 14
a 16 703 11
a 16 198 17
a 16 243 5
a 16 33 10
a 16 922 15
a 16 381 11
a 16 133 17
a 16 97 13
a 16 826 2
a 16 115 8
a 16 646 8
a 16 842 3
a 16 384 19
a 17 915 15
a 17 833 2
a 17 558 13
a 17 466 16
a 17 870 16
a 17 817 3
a 17 348 8
a 17 825 1
a 17 665 1
a 17 555 1
a 17 910 10
a 17 177 19
a 17 884 6
a 17 436 10
a 17 756 11
a 17 287 17
a 17 476 12
a 17 132 9
a 17 149 18
a 17 266 19
a 18 587 16
a 18 627 11
a 18 142 17
a 18 23 6
a 18 24 6
a 18 683 6
a 18 733 20
a 18 155 10
a 18 856 2
a 18 929 12
a 18 444 4
a 18 869 20
a 18 349 15
a 18 68 1
a 18 543 10
a 18 924 13
a 18 89 17
a 18 753 7
a 18 547 17
a 18 634 15
a 18 494 13
a 18 94 14
a 18 182 13
a 18 665 6
a 19 948 17
a 19 959 13
a 19 774 8
a 19 470 13
a 19 114 8
a 19 215 1
a 19 625 7
a 19 567 7
a 19 494 6
a 19 775 19
a 19 894 20
a 19 784 7
a 19 515 5
a 19 411 15
a 19 930 20
a 19 794 4
a 19 442 9
a 19 488 16
a 19 681 9
a 19 609 8
a 19 320 3
a 19 129 13
a 20 149 18
a 20 22 18
a 20 259 3
a 20 566 2
a 20 133 11
a 20 718 13
a 20 892 13
a 20 248 15
a 20 304 14
a 20 189 14
a 20 698 8
a 20 55 6
a 20 990 2
a 20 503 10
a 20 244 15
a 20 804 13
a 20 42 10
a 20 968 11
a 20 995 12
a 21 300 9
a 21 829 3
a 21 278 13
a 21 183 18
a 21 980 20
a 21 272 11
a 21 960 16
a 21 740 7
a 21 863 1
a 21 956 14
a 21 264 13
a 21 805 9
a 21 673 9
a 21 50 11
a 21 448 1
a 21 704 14
a 21 191 7
a 21 545 7
a 21 724 16
a 21 792 6
a 22 308 3
a 22 857 11
a 22 34 17
a 22 775 7
a 22 561 18
a 22 48 1
a 22 922 14
a 22 863 14
a 22 67 18
a 22 454 12
a 22 101 20
a 22 303 19
a 22 720 10
a 22 671 11
a 22 212 13
a 22 172 12
a 22 766 6
a 22 787 1
a 23 273 5
a 23 108 20
a 23 160 14
a 23 123 17
a 23 928 19
a 23 639 16
a 23 484 2
a 23 420 10
a 23 386 8
a 23 265 11
a 23 476 18
a 23 414 19
a 23 135 20
a 23 131 19
a 23 394 19
a 23 232 17
a 23 491 17
a 23 404 16
a 23 448 2
a 23 973 6
a 23 183 19
a 23 442 4
a 24 103 12
a 24 38 2
a 24 205 11
a 24 919 3
a 24 708 3
a 24 687 8
a 24 261 17
a 24 665 13
a 24 718 8
a 24 671 3
a 24 437 15
a 24 494 6
a 24 816 14
a 24 899 10
a 24 676 11
a 24 998 10
a 24 80 16
a 24 193 11
a 24 39 6
a 24 618 8
a 24 590 12
a 25 758 2
a 25 679 14
a 25 661 17
a 25 844 4
a 25 973 16
a 25 847 20
a 25 887 2
a 25 29 2
a 25 981 11
a 25 192 19
a 25 448 7
a 25 215 1
a 25 785 8
a 26 433 19
a 26 511 6
a 26 136 16
a 26 556 14
a 26 923 12
a 26 693 11
a 26 458 1
a 26 692 20
a 26 59 7
a 26 774 6
a 26 56 20
a 26 637 11
a 26 226 19
a 26 801 18
a 26 772 9
a 27 249 6
a 27 112 16
a 27 781 17
a 27 693 14
a 27 745 20
a 27 521 4
a 27 789 20
a 27 621 14
a 27 709 12
a 27 817 1
a 27 66 9
a 27 65 20
a 27 570 17
a 27 28 12
a 27 434 9
a 27 205 14
a 27 132 12
a 27 365 9
a 27 296 1
a 27 299 1
a 27 602 14
a 27 355 4
a 27 714 17
a 27 972 7
a 27 915 13
a 28 844 1
a 28 695 4
a 28 484 16
a 28 736 10
a 28 929 20
a 28 864 16
a 28 503 11
a 28 269 11
a 28 369 15
a 28 109 18
a 28 537 9
a 28 826 19
a 28 414 9
a 28 469 13
a 28 434 3
a 28 361 2
a 28 631 3
a 28 754 4
a 28 984 3
a 28 709 16
a 28 249 17
a 29 465 18
a 29 165 6
a 29 792 19
a 29 36 18
a 29 213 12
a 29 1000 15
a 29 475 10
a 29 118 8
a 29 209 8
a 29 806 6
a 29 35 2
a 29 500 6
a 29 682 3
a 29 248 11
a 29 844 14
a 29 113 20
a 30 109 16
a 30 685 4
a 30 175 19
a 30 238 10
a 30 185 11
a 30 310 17
a 30 924 6
a 30 586 6
a 30 546 8
a 30 53 7
a 30 526 11
a 30 976 15
a 30 252 4
a 30 394 14
a 30 135 11
a 31 508 16
a 31 606 20
a 31 939 17
a 31 964 6
a 31 327 4
a 31 588 2
a 31 769 4
a 31 609 14
a 31 560 14
a 31 269 20
a 31 868 11
a 31 699 8
a 31 815 10
a 31 311 12
a 31 464 13
a 31 914 15
a 31 716 11
a 31 138 10
a 31 325 12
a 31 756 2
a 32 778 17
a 32 344 11
a 32 99 12
a 32 196 9
a 32 695 4
a 32 349 7
a 32 946 4
a 32 924 20
a 32 879 18
a 32 720 3
a 32 174 8
a 32 535 4
a 32 235 3
a 32 114 10
a 32 755 8
a 32 859 6
a 32 154 8
a 33 36 6
a 33 217 2
a 33 336 11
a 33 513 5
a 33 792 14
a 33 372 1
a 33 756 6
a 33 137 10
a 33 524 8
a 33 927 2
a 33 367 18
a 33 488 3
a 33 834 19
a 33 167 9
a 33 825 20
a 33 922 15
a 33 625 3
a 33 578 2
a 33 65 9
a 33 590 16
a 33 509 16
a 33 990 3
a 33 1001 9
a 34 255 19
a 34 151 13
a 34 512 18
a 34 686 18
a 34 869 9
a 34 578 7
a 34 588 2
a 34 714 14
a 34 533 3
a 34 904 11
a 34 46 1
a 34 584 3
a 34 879 3
a 34 189 3
a 34 637 4
a 34 238 18
a 34 39 16
a 34 108 20
a 35 602 2
a 35 959 16
a 35 826 2
a 35 529 19
a 35 310 11
a 35 166 4
a 35 169 18
a 35 679 10
a 35 272 1
a 35 464 2
a 35 688 6
a 35 564 12
a 35 655 7
a 35 425 6
a 35 101 20
a 36 174 15
a 36 585 12
a 36 430 4
a 36 296 4
a 36 571 20
a 36 763 17
a 36 470 10
a 36 789 19
a 36 207 16
a 36 575 10
a 36 283 12
a 36 651 10
a 36 518 8
a 36 472 20
a 36 77 9
a 36 242 10
a 36 567 19
a 36 737 8
a 36 41 9
a 36 536 15
a 36 808 12
a 37 725 6
a 37 189 1
a 37 433 6
a 37 108 6
a 37 104 4
a 37 41 19
a 37 64 10
a 37 513 7
a 37 78 9
a 37 427 6
a 37 347 13
a 37 127 13
a 37 196 6
a 37 544 5
a 37 637 3
a 37 465 18
a 37 849 3
a 37 86 9
a 37 205 2
a 37 830 16
a 37 761 7
a 37 346 11
a 37 991 11
a 37 854 6
a 37 399 4
a 38 714 16
a 38 933 18
a 38 184 4
a 38 868 7
a 38 897 2
a 38 878 19
a 38 270 20
a 38 985 19
a 38 586 17
a 38 576 10
a 38 974 3
a 38 395 19
a 38 129 2
a 38 276 15
a 38 875 6
a 38 214 18
a 38 173 4
a 38 466 9
a 38 59 3
a 38 860 18
a 38 817 19
a 39 78 19
a 39 425 3
a 39 673 11
a 39 364 15
a 39 267 6
a 39 133 2
a 39 992 12
a 39 740 15
a 39 76 11
a 39 155 5
a 39 881 5
a 39 469 18
a 39 612 8
a 39 304 8
a 39 581 6
a 39 159 13
a 39 717 6
a 39 208 14
a 39 861 5
a 39 299 1
a 39 484 6
a 39 177 4
a 39 724 19
a 39 135 10
a 39 988 5
a 39 501 10
a 39 240 3
a 40 183 20
a 40 727 12
a 40 249 13
a 40 145 2
a 40 95 17
a 40 868 16
a 40 61 15
a 40 615 12
a 40 849 4
a 40 97 14
a 40 860 8
a 40 141 19
a 40 468 4
a 40 649 1
a 40 138 2
a 40 465 1
a 40 662 3
a 41 513 3
a 41 580 10
a 41 425 8
a 41 982 7
a 41 949 20
a 41 112 12
a 41 934 6
a 41 495 14
a 41 434 1
a 41 271 4
a 41 45 3
a 41 511 7
a 41 803 20
a 41 574 11
a 41 317 13
a 41 193 17
a 41 218 8
a 41 444 7
a 41 454 10
a 41 483 10
a 41 643 4
a 41 993 15
a 41 126 8
a 41 549 15
a 41 912 12
a 42 519 5
a 42 94 4
a 42 543 11
a 42 707 18
a 42 663 9
a 42 357 9
a 42 586 7
a 42 990 5
a 42 506 4
a 42 596 2
a 42 819 5
a 42 674 15
a 42 303 13
a 42 509 6
a 42 697 2
a 42 495 10
a 42 931 18
a 42 860 4
a 43 215 18
a 43 308 11
a 43 715 1
a 43 854 16
a 43 611 11
a 43 274 1
a 43 946 1
a 43 429 12
a 43 411 14
a 43 525 6
a 43 453 18
a 43 980 12
a 43 944 13
a 43 135 16
a 43 362 8
a 44 51 14
a 44 405 15
a 44 374 18
a 44 233 18
a 44 604 10
a 44 473 14
a 44 516 7
a 44 191 16
a 44 851 1
a 44 875 4
a 44 261 10
a 44 664 19
a 44 972 8
a 44 804 18
a 44 933 20
a 45 308 15
a 45 740 17
a 45 73 19
a 45 728 1
a 45 855 1
a 45 674 3
a 45 342 1
a 45 659 18
a 45 76 18
a 45 283 8
a 45 241 3
a 45 58 1
a 45 220 14
a 45 483 8
a 45 686 16
a 45 497 15
a 45 389 12
a 45 139 5
a 45 681 9
a 46 879 14
a 46 497 15
a 46 217 9
a 46 104 10
a 46 778 9
a 46 99 4
a 46 359 20
a 46 343 19
a 46 533 16
a 46 587 1
a 46 602 2
a 46 490 4
a 46 832 4
a 46 840 2
a 46 258 19
a 46 576 7
a 46 474 7
a 46 469 11
a 46 670 5
a 46 878 16
a 46 982 12
a 47 580 2
a 47 829 11
a 47 396 14
a 47 881 13
a 47 301 15
a 47 817 20
a 47 571 12
a 47 253 3
a 47 158 4
a 47 750 12
a 47 213 16
a 47 456 14
a 47 245 9
a 47 996 4
a 47 371 18
a 47 420 8
a 47 840 12
a 47 663 1
a 47 950 16
a 47 385 7
a 47 125 2
a 47 227 3
a 47 714 13
a 48 572 2
a 48 862 2
a 48 747 11
a 48 384 13
a 48 917 17
a 48 274 15
a 48 860 14
a 48 591 8
a 48 226 14
a 48 399 11
a 48 786 11
a 48 589 8
a 48 235 19
a 48 643 16
a 48 773 1
a 48 484 12
a 48 273 3
a 48 268 4
a 48 276 7
a 48 240 15
a 48 955 7
a 48 307 20
a 48 783 17
a 49 349 1
a 49 121 3
a 49 288 17
a 49 876 2
a 49 704 9
a 49 442 9
a 49 400 5
a 49 798 3
a 49 689 9
a 49 443 2
a 49 267 18
a 49 167 5
a 49 343 20
a 49 242 8
a 49 171 13
a 49 550 2
a 49 84 8
a 49 675 14
a 49 91 7
a 49 129 18
a 49 543 7
a 49 144 12
a 49 453 20
a 49 479 12
a 49 763 8
a 49 696 9
a 50 494 12
a 50 535 6
a 50 928 9
a 50 944 10
a 50 220 9
a 50 433 4
a 50 699 13
a 50 78 12
a 50 719 19
a 50 475 14
a 50 968 6
a 50 914 19
a 50 83 10
a 50 54 14
a 50 746 15
a 50 700 15
a 50 510 10
a 50 725 15
a 50 135 14
a 50 469 11
a 51 154 18
a 51 607 17
a 51 908 13
a 51 293 10
a 51 396 3
a 51 932 13
a 51 865 11
a 51 643 17
a 51 397 10
a 51 241 13
a 51 958 11
a 51 275 16
a 51 790 11
a 51 310 19
a 51 158 10
a 52 509 8
a 52 784 11
a 52 730 18
a 52 479 4
a 52 798 16
a 52 102 9
a 52 181 7
a 52 139 6
a 52 455 10
a 52 379 18
a 52 381 11
a 52 469 16
a 52 125 18
a 52 488 1
a 52 450 17
a 52 205 6
a 52 723 6
a 52 606 2
a 53 874 14
a 53 66 16
a 53 194 3
a 53 255 5
a 53 286 13
a 53 195 5
a 53 87 5
a 53 405 13
a 53 537 10
a 53 166 16
a 53 846 15
a 53 539 5
a 53 791 7
a 53 358 19
a 53 551 14
a 53 353 14
a 53 994 15
a 53 269 15
a 53 343 18
a 53 308 18
a 53 54 16
a 53 307 4
a 54 730 15
a 54 547 11
a 54 108 11
a 54 561 2
a 54 92 10
a 54 797 17
a 54 393 13
a 54 647 8
a 54 845 14
a 54 412 19
a 54 60 8
a 54 139 2
a 54 517 17
a 55 163 7
a 55 812 11
a 55 562 15
a 55 901 7
a 55 226 16
a 55 306 7
a 55 79 20
a 55 756 3
a 55 492 3
a 55 384 7
a 55 440 15
a 55 526 8
a 55 772 8
a 55 592 11
a 55 281 18
a 55 62 17
a 55 724 19
a 55 881 13
a 55 341 11
a 55 333 12
a 55 900 16
a 55 949 15
a 55 472 20
a 55 292 19
a 55 722 18
a 55 471 7
a 56 662 4
a 56 454 12
a 56 686 12
a 56 178 20
a 56 928 14
a 56 732 10
a 56 175 20
a 56 996 9
a 56 204 17
a 56 618 1
a 56 700 3
a 56 757 14
a 56 737 12
a 56 201 8
a 56 127 4
a 56 721 20
a 56 733 2
a 56 869 17
a 56 879 6
a 56 333 13
a 56 336 19
a 57 639 3
a 57 582 18
a 57 904 6
a 57 532 5
a 57 576 5
a 57 803 4
a 57 799 17
a 57 691 18
a 57 195 1
a 57 226 20
a 57 392 12
a 57 780 12
a 57 113 6
a 57 868 2
a 57 196 12
a 57 623 19
a 57 435 6
a 57 474 8
a 57 207 17
a 57 272 17
a 57 117 15
a 57 742 1
a 57 570 5
a 58 849 6
a 58 643 1
a 58 641 8
a 58 93 19
a 58 95 1
a 58 874 16
a 58 349 14
a 58 751 15
a 58 335 19
a 58 769 14
a 58 955 2
a 58 591 3
a 58 464 11
a 58 409 11
a 58 885 2
a 58 711 6
a 58 191 9
a 58 225 17
a 59 144 10
a 59 754 18
a 59 602 18
a 59 725 13
a 59 940 2
a 59 718 9
a 59 317 20
a 59 147 20
a 59 758 9
a 59 489 15
a 59 677 16
a 59 373 6
a 59 878 16
a 59 205 8
a 59 812 12
a 59 660 14
a 59 739 17
a 59 243 3
a 59 399 7
a 59 249 7
a 59 192 1
a 59 450 16
a 59 893 11
a 60 778 16
a 60 368 2
a 60 899 17
a 60 210 13
a 60 542 15
a 60 706 11
a 60 189 9
a 60 445 20
a 60 335 5
a 60 168 13
a 60 185 11
a 60 587 15
a 60 767 14
a 60 320 16
a 60 230 17
a 60 260 20
a 60 802 18
a 60 558 14
a 60 719 4
a 60 132 2
a 61 74 1
a 61 317 9
a 61 692 16
a 61 399 11
a 61 547 12
a 61 802 16
a 61 406 11
a 61 856 13
a 61 968 11
a 61 783 4
a 61 564 5
a 61 395 3
a 61 693 7
a 61 304 17
a 61 509 3
a 61 576 2
a 61 322 19
a 61 648 17
a 62 998 17
a 62 776 12
a 62 908 7
a 62 585 17
a 62 944 19
a 62 849 19
a 62 840 6
a 62 436 13
a 62 83 17
a 62 980 20
a 62 832 9
a 62 768 17
a 62 102 3
a 62 861 1
a 62 395 2
a 62 735 13
a 62 821 6
a 62 906 9
a 62 308 17
a 62 455 7
a 62 246 4
a 63 576 6
a 63 378 9
a 63 404 20
a 63 928 10
a 63 190 12
a 63 1001 6
a 63 150 2
a 63 767 18
a 63 336 19
a 63 854 14
a 63 339 20
a 63 563 20
a 63 931 10
a 63 574 11
a 63 955 6
a 63 136 7
a 63 766 19
a 63 111 13
a 64 660 5
a 64 652 12
a 64 892 6
a 64 88 6
a 64 378 14
a 64 501 7
a 64 720 20
a 64 733 20
a 64 735 13
a 64 79 4
a 64 606 14
a 64 254 17
a 64 273 6
a 64 712 20
a 65 104 15
a 65 740 8
a 65 123 15
a 65 788 19
a 65 577 1
a 65 90 8
a 65 882 3
a 65 909 13
a 65 144 13
a 65 522 14
a 65 435 17
a 65 534 9
a 65 325 1
a 65 752 2
a 65 931 18
a 65 375 19
a 65 952 19
a 65 923 3
a 65 156 6
a 65 823 9
a 65 118 1
a 65 781 11
a 65 665 1
a 66 368 19
a 66 256 17
a 66 543 19
a 66 91 10
a 66 156 17
a 66 818 5
a 66 927 16
a 66 201 15
a 66 523 20
a 66 102 4
a 66 787 10
a 66 85 8
a 66 875 17
a 66 154 7
a 66 447 18
a 66 186 8
a 66 859 10
a 66 730 20
a 66 492 4
a 67 776 14
a 67 69 10
a 67 861 13
a 67 801 11
a 67 189 4
a 67 990 17
a 67 412 18
a 67 323 17
a 67 733 3
a 67 484 15
a 67 270 9
a 67 594 14
a 67 964 18
a 67 130 13
a 67 724 10
a 67 401 9
a 67 642 12
a 67 556 1
a 67 983 7
a 67 520 16
a 68 689 16
a 68 865 10
a 68 904 5
a 68 604 3
a 68 697 12
a 68 714 6
a 68 228 13
a 68 713 4
a 68 730 5
a 68 748 3
a 68 764 14
a 68 902 18
a 68 587 5
a 68 541 5
a 68 703 19
a 68 295 9
a 68 298 12
a 68 723 15
a 68 171 6
a 68 471 4
a 69 802 5
a 69 157 10
a 69 403 20
a 69 575 6
a 69 686 19
a 69 150 19
a 69 198 19
a 69 139 17
a 69 360 9
a 69 602 13
a 69 762 20
a 69 153 19
a 69 349 5
a 69 374 6
a 69 216 19
a 70 116 10
a 70 782 11
a 70 240 7
a 70 523 10
a 70 805 9
a 70 838 18
a 70 996 20
a 70 299 16
a 70 739 14
a 70 857 9
a 70 301 3
a 70 467 6
a 70 494 18
a 70 674 8
a 70 632 15
a 70 629 8
a 71 457 16
a 71 938 20
a 71 331 4
a 71 633 19
a 71 93 20
a 71 819 17
a 71 122 10
a 71 588 3
a 71 144 17
a 71 225 13
a 71 325 19
a 71 589 16
a 71 191 1
a 71 121 20
a 71 437 13
a 71 408 11
a 71 571 15
a 71 965 9
a 71 526 8
a 71 592 19
a 71 891 20
a 72 342 7
a 72 860 20
a 72 515 9
a 72 996 4
a 72 657 17
a 72 812 16
a 72 454 11
a 72 169 17
a 72 446 19
a 72 310 10
a 72 199 4
a 72 174 6
a 72 1001 19
a 72 608 7
a 72 791 1
a 72 825 4
a 72 259 19
a 72 868 7
a 72 479 19
a 72 353 1
a 72 344 4
a 72 143 8
a 72 930 9
a 73 416 4
a 73 305 5
a 73 603 2
a 73 645 7
a 73 307 6
a 73 191 4
a 73 925 20
a 73 711 16
a 73 944 20
a 73 855 20
a 73 359 10
a 73 801 12
a 73 327 2
a 73 358 4
a 73 87 2
a 73 654 1
a 73 249 18
a 73 806 20
a 73 915 15
a 73 868 17
a 73 593 9
a 73 849 1
a 74 181 15
a 74 486 15
a 74 159 9
a 74 850 6
a 74 639 6
a 74 487 11
a 74 565 11
a 74 165 7
a 74 386 18
a 74 699 11
a 74 555 17
a 74 689 12
a 74 840 13
a 74 831 20
a 74 105 7
a 74 830 8
a 74 315 13
a 74 967 6
a 74 810 19
a 75 533 9
a 75 508 19
a 75 450 11
a 75 921 13
a 75 234 18
a 75 151 15
a 75 870 9
a 75 427 11
a 75 271 15
a 75 613 8
a 75 940 20
a 75 452 9
a 75 976 10
a 75 215 6
a 75 658 10
a 75 231 16
a 75 92 12
a 75 612 14
a 76 276 16
a 76 506 19
a 76 807 10
a 76 958 14
a 76 489 3
a 76 720 19
a 76 359 3
a 76 198 14
a 76 822 18
a 76 997 9
a 76 984 5
a 76 919 1
a 76 470 4
a 76 346 5
a 76 567 2
a 77 776 11
a 77 425 12
a 77 565 6
a 77 620 4
a 77 523 9
a 77 433 10
a 77 266 14
a 77 511 17
a 77 93 9
a 77 372 3
a 77 87 5
a 77 649 3
a 77 678 12
a 77 752 7
a 77 109 8
a 77 108 1
a 77 701 14
a 77 668 8
a 78 699 7
a 78 724 12
a 78 951 16
a 78 240 2
a 78 82 3
a 78 901 11
a 78 314 5
a 78 468 12
a 78 338 16
a 78 246 13
a 78 931 10
a 78 308 11
a 78 295 20
a 78 249 15
a 78 456 5
a 78 182 17
a 78 203 2
a 78 854 11
a 78 941 9
a 78 218 11
a 79 128 5
a 79 836 4
a 79 147 5
a 79 503 9
a 79 839 10
a 79 640 4
a 79 130 2
a 79 404 6
a 79 415 8
a 79 209 5
a 79 964 12
a 79 848 2
a 79 630 10
a 79 967 20
a 79 863 6
a 79 105 20
a 79 601 11
a 79 892 20
a 79 364 17
a 79 94 3
a 79 486 1
a 79 163 12
a 80 501 1
a 80 182 13
a 80 970 4
a 80 261 1
a 80 937 14
a 80 547 2
a 80 769 15
a 80 865 17
a 80 95 18
a 80 756 4
a 80 802 8
a 80 646 4
a 80 247 20
a 80 241 19
a 80 808 14
a 80 960 13
a 80 921 7
a 80 346 9
a 80 148 3
a 80 432 13
a 80 351 17
a 80 115 8
a 81 425 16
a 81 949 16
a 81 838 1
a 81 320 16
a 81 685 5
a 81 147 15
a 81 445 3
a 81 364 12
a 81 609 19
a 81 692 1
a 81 822 12
a 81 492 2
a 81 410 6
a 81 950 14
a 81 772 12
a 81 249 12
a 81 314 3
a 81 747 13
a 81 139 20
a 81 115 2
a 81 906 15
a 82 275 14
a 82 282 11
a 82 395 12
a 82 340 10
a 82 232 18
a 82 828 10
a 82 777 6
a 82 315 14
a 82 120 8
a 82 745 16
a 82 387 4
a 82 724 9
a 82 967 3
a 82 717 16
a 82 883 17
a 82 934 10
a 82 254 8
a 82 733 3
a 82 406 16
a 83 96 13
a 83 877 15
a 83 213 18
a 83 251 4
a 83 951 7
a 83 487 17
a 83 160 13
a 83 816 2
a 83 845 8
a 83 872 10
a 83 183 3
a 83 731 12
a 83 740 4
a 83 556 18
a 83 322 8
a 83 173 13
a 83 443 17
a 83 815 15
a 83 170 10
a 83 279 20
a 83 762 8
a 83 636 7
a 84 274 17
a 84 1000 16
a 84 807 20
a 84 313 7
a 84 613 1
a 84 404 14
a 84 790 15
a 84 175 1
a 84 234 7
a 84 378 3
a 84 935 6
a 84 984 12
a 84 764 15
a 84 120 19
a 84 867 7
a 84 454 2
a 84 187 4
a 84 928 11
a 84 217 7
a 84 809 19
a 84 561 2
a 84 687 2
a 85 300 19
a 85 956 18
a 85 105 11
a 85 823 3
a 85 348 15
a 85 238 12
a 85 288 10
a 85 871 17
a 85 286 6
a 85 943 20
a 85 809 9
a 85 666 9
a 85 392 17
a 85 859 6
a 85 787 14
a 85 812 11
a 85 191 20
a 85 401 7
a 85 230 3
a 85 332 20
a 85 921 20
a 85 199 6
a 86 364 8
a 86 609 12
a 86 719 8
a 86 948 9
a 86 309 2
a 86 653 7
a 86 118 1
a 86 641 1
a 86 779 2
a 86 830 20
a 86 125 6
a 86 181 5
a 86 828 16
a 86 485 19
a 87 479 5
a 87 955 7
a 87 331 7
a 87 105 1
a 87 797 3
a 87 667 15
a 87 656 10
a 87 598 1
a 87 510 3
a 87 879 20
a 87 192 1
