c Basic Line Mesh
a 7 300 5
a 8 529 9
a 8 634 5
a 8 483 11
a 8 767 1
a 8 52 14
a 8 236 8
a 8 324 12
a 8 179 12
a 8 766 12
a 8 96 7
a 8 473 11
a 8 602 17
a 8 687 3
a 8 475 1
a 8 311 5
a 8 667 6
a 8 585 16
a 8 134 2
a 8 28 18
a 8 704 17
a 8 149 4
a 8 559 3
a 8 676 3
a 9 536 15
a 9 566 5
a 9 495 3
a 9 82 14
a 9 366 16
a 9 714 17
a 9 550 13
a 9 438 20
a 9 470 6
a 9 487 10
a 9 334 10
a 9 770 4
a 9 313 2
a 9 449 6
a 9 68 17
a 9 375 18
a 9 672 13
a 10 652 9
a 10 424 1
a 10 311 12
a 10 559 10
a 10 187 16
a 10 545 13
a 10 745 13
a 10 204 18
a 10 712 11
a 10 290 19
a 10 186 13
a 10 752 16
a 10 522 14
a 10 153 1
a 10 234 14
a 10 686 17
a 10 78 4
a 10 494 13
a 10 618 19
a 10 543 5
a 10 380 18
a 10 665 12
a 11 798 11
a 11 87 13
a 11 96 19
a 11 39 5
a 11 440 12
a 11 682 14
a 11 225 20
a 11 695 3
a 11 227 5
a 11 89 1
a 11 613 10
a 11 141 12
a 11 479 11
a 11 620 4
a 11 515 7
a 11 193 4
a 11 771 2
a 11 347 4
a 11 56 5
a 11 752 8
a 11 663 8
a 11 601 11
a 11 697 19
a 12 101 7
a 12 41 9
a 12 28 15
a 12 436 19
a 12 583 2
a 12 485 1
a 12 336 9
a 12 331 3
a 12 553 9
a 12 302 2
a 12 532 10
a 12 691 4
a 12 725 10
a 12 316 18
a 13 640 7
a 13 719 18
a 13 418 12
a 13 443 6
a 13 187 2
a 13 620 11
a 13 440 12
a 13 156 16
a 13 89 16
a 13 598 3
a 13 563 19
a 13 369 17
a 13 740 13
a 13 780 17
a 13 271 15
a 13 240 15
a 13 49 2
a 13 797 17
a 13 550 17
a 13 762 6
a 13 704 14
a 14 634 2
a 14 274 9
a 14 235 15
a 14 689 2
a 14 504 11
a 14 170 18
a 14 65 19
a 14 43 3
a 14 228 10
a 14 332 19
a 14 163 14
a 14 271 6
a 14 649 13
a 14 318 5
a 14 248 2
a 14 23 6
a 14 368 4
a 15 794 2
a 15 44 5
a 15 24 20
a 15 129 9
a 15 705 8
a 15 148 10
a 15 131 17
a 15 557 1
a 15 396 7
a 15 790 14
a 15 500 10
a 15 726 19
a 15 101 11
a 15 98 10
a 15 228 17
a 15 346 6
a 15 571 9
a 15 231 16
a 15 280 14
a 15 716 8
a 15 74 14
a 15 509 12
a 16 265 7
a 16 725 19
a 16 307 20
a 16 101 7
a 16 131 19
a 16 647 4
a 16 324 19
a 16 285 20
a 16 440 10
a 16 762 13
a 16 432 16
a 16 81 5
a 16 738 3
a 16 38 19
a 16 683 20
a 16 422 15
a 17 416 11
a 17 379 10
a 17 693 10
a 17 538 5
a 17 247 2
a 17 676 3
a 17 467 18
a 17 248 5
a 17 415 6
a 17 354 11
a 17 780 15
a 17 593 9
a 17 333 16
a 17 558 16
a 17 466 2
a 17 370 16
a 17 618 16
a 17 116 4
a 17 620 19
a 17 665 10
a 17 410 9
a 17 40 7
a 17 176 15
a 17 651 7
a 18 628 3
a 18 235 13
a 18 438 11
a 18 308 20
a 18 630 15
a 18 659 3
a 18 268 11
a 18 415 7
a 18 213 9
a 18 671 12
a 18 392 19
a 18 587 9
a 18 683 13
a 18 642 2
a 18 23 10
a 18 524 14
a 18 183 16
a 18 733 1
a 18 412 10
a 18 356 15
a 18 355 14
a 18 352 7
a 18 369 5
a 19 576 11
a 19 552 17
a 19 720 3
a 19 186 12
a 19 339 1
a 19 454 17
a 19 435 19
a 19 428 3
a 19 501 4
a 19 774 9
a 19 363 4
a 19 215 17
a 19 142 12
a 19 494 3
a 19 480 4
a 19 275 2
a 20 463 19
a 20 655 3
a 20 288 11
a 20 702 3
a 20 170 8
a 20 132 10
a 20 522 16
a 20 464 20
a 20 258 4
a 20 259 18
a 20 724 4
a 20 718 11
a 20 217 2
a 20 689 5
a 20 507 3
a 20 345 11
a 21 788 10
a 21 455 2
a 21 70 16
a 21 382 10
a 21 97 4
a 21 387 18
a 21 300 5
a 21 778 9
a 21 85 16
a 21 683 13
a 21 480 8
a 21 620 13
a 21 636 9
a 21 772 15
a 21 740 5
a 21 456 10
a 21 494 13
a 21 632 9
a 21 764 3
a 21 280 13
a 21 550 18
a 22 605 11
a 22 96 4
a 22 552 18
a 22 275 9
a 22 216 8
a 22 506 9
a 22 548 1
a 22 567 13
a 22 601 5
a 22 656 10
a 22 497 20
a 22 671 10
a 22 123 19
a 23 31 3
a 23 774 14
a 23 202 12
a 23 129 16
a 23 265 9
a 23 694 15
a 23 608 10
a 23 411 4
a 23 704 13
a 23 160 9
a 23 623 14
a 23 639 6
a 23 420 5
a 23 765 20
a 23 707 14
a 23 785 17
a 23 635 19
a 23 98 16
a 23 220 2
a 23 631 10
a 24 239 7
a 24 174 7
a 24 775 3
a 24 195 10
a 24 470 20
a 24 636 17
a 24 165 7
a 24 603 9
a 24 538 8
a 24 122 12
a 24 205 19
a 24 419 2
a 24 187 20
a 24 576 6
a 24 261 8
a 24 77 12
a 24 665 2
a 24 718 11
a 24 171 3
a 24 654 3
a 24 542 8
a 24 471 17
a 24 169 13
a 24 773 8
a 25 300 10
a 25 499 13
a 25 599 13
a 25 389 6
a 25 225 12
a 25 476 11
a 25 706 8
a 25 773 2
a 25 179 17
a 25 661 13
a 25 100 2
a 25 344 10
a 25 47 13
a 25 307 6
a 25 778 4
a 25 132 11
a 25 223 20
a 25 481 8
a 25 457 2
a 25 529 14
a 25 54 11
a 26 387 19
a 26 534 18
a 26 414 3
a 26 345 1
a 26 112 14
a 26 298 3
a 26 737 9
a 26 447 7
a 26 513 18
a 26 417 5
a 26 145 12
a 26 124 18
a 26 653 6
a 26 42 14
a 26 136 9
a 26 724 12
a 26 193 13
a 26 233 12
a 26 605 15
a 27 393 3
a 27 123 6
a 27 681 3
a 27 287 16
a 27 691 1
a 27 796 6
a 27 107 13
a 27 108 3
a 27 621 17
a 27 134 20
a 27 249 9
a 27 132 12
a 27 781 6
a 27 245 16
a 27 521 17
a 27 789 1
a 27 612 16
a 28 788 5
a 28 47 19
a 28 541 15
a 28 50 1
a 28 771 4
a 28 791 14
a 28 165 3
a 28 41 8
a 28 254 10
a 28 344 14
a 28 510 14
a 28 170 13
a 28 695 2
a 28 736 2
a 28 503 12
a 28 575 6
a 28 105 20
a 28 109 20
a 28 537 1
a 29 248 13
a 29 701 18
a 29 699 8
a 29 597 2
a 29 118 5
a 29 165 11
a 29 213 4
a 29 740 2
a 29 618 5
a 29 570 9
a 29 356 4
a 29 500 13
a 29 799 5
a 29 682 19
a 30 240 4
a 30 728 20
a 30 166 20
a 30 520 5
a 30 647 13
a 30 625 2
a 30 254 20
a 30 361 3
a 30 109 16
a 30 256 5
a 30 654 7
a 30 635 17
a 30 321 2
a 30 175 15
a 30 276 16
a 30 738 14
a 30 685 13
a 30 769 1
a 30 86 15
a 30 772 18
a 30 526 9
a 30 641 5
a 30 394 11
a 31 500 14
a 31 171 18
a 31 511 12
a 31 208 7
a 31 713 8
a 31 221 2
a 31 322 3
a 31 361 8
a 31 73 3
a 31 508 10
a 31 751 4
a 31 106 15
a 31 612 4
a 31 168 4
a 31 92 12
a 31 588 19
a 31 123 20
a 31 609 2
a 31 151 9
a 31 60 19
a 31 769 3
a 31 150 7
a 31 157 14
a 31 699 2
a 32 624 14
a 32 77 14
a 32 589 18
a 32 489 6
a 32 669 19
a 32 81 15
a 32 535 1
a 32 575 10
a 32 458 3
a 32 278 16
a 32 621 14
a 32 71 4
a 32 393 12
a 32 599 13
a 32 228 20
a 32 755 11
a 32 696 16
a 32 738 9
a 32 293 4
a 33 136 3
a 33 737 4
a 33 107 14
a 33 95 20
a 33 414 13
a 33 379 4
a 33 76 19
a 33 212 19
a 33 228 10
a 33 776 12
a 33 395 8
a 33 42 12
a 33 169 11
a 33 456 14
a 33 36 13
a 33 717 4
a 33 513 6
a 33 386 19
a 33 372 10
a 33 305 5
a 33 756 5
a 33 784 11
a 33 137 10
a 33 524 15
a 34 665 1
a 34 624 4
a 34 666 20
a 34 38 17
a 34 116 12
a 34 424 18
a 34 100 11
a 34 721 11
a 34 297 2
a 34 214 9
a 34 383 16
a 34 650 8
a 34 615 5
a 35 241 16
a 35 154 14
a 35 497 19
a 35 566 13
a 35 736 1
a 35 174 12
a 35 540 18
a 35 323 16
a 35 617 17
a 35 211 19
a 35 457 11
a 35 94 19
a 35 801 7
a 35 687 2
a 35 422 17
a 35 281 14
a 35 695 8
a 35 739 15
a 35 676 2
a 35 753 16
a 35 459 19
a 35 343 1
a 35 326 19
a 35 239 3
a 35 310 20
a 35 666 9
a 36 506 7
a 36 85 16
a 36 704 5
a 36 721 19
a 36 260 1
a 36 345 8
a 36 741 10
a 36 471 10
a 36 191 19
a 36 160 10
a 36 636 19
a 36 706 7
a 36 664 16
a 36 705 15
a 36 248 20
a 36 174 5
a 36 230 4
a 36 585 8
a 36 430 11
a 36 796 15
a 36 438 12
a 36 763 11
a 37 372 18
a 37 713 3
a 37 558 6
a 37 516 19
a 37 684 18
a 37 466 13
a 37 462 14
a 37 315 19
a 37 166 6
a 37 793 3
a 37 724 6
a 37 121 16
a 37 225 1
a 37 679 12
a 37 714 17
a 37 608 11
a 37 450 15
a 37 104 11
a 37 541 18
a 38 723 13
a 38 487 16
a 38 41 4
a 38 763 5
a 38 702 12
a 38 760 2
a 38 775 18
a 38 208 20
a 38 421 18
a 38 173 9
a 38 164 4
a 38 519 19
a 38 111 2
a 38 714 20
a 38 311 5
a 38 684 5
a 38 154 14
a 38 270 8
a 38 86 18
a 38 731 17
a 39 126 11
a 39 582 19
a 39 125 20
a 39 661 1
a 39 744 19
a 39 717 3
a 39 233 7
a 39 669 9
a 39 210 14
a 39 173 8
a 39 314 9
a 39 364 10
a 39 264 15
a 39 488 17
a 39 281 18
a 39 740 5
a 39 576 2
a 39 755 19
a 40 779 7
a 40 292 14
a 40 452 4
a 40 697 17
a 40 456 3
a 40 632 13
a 40 154 14
a 40 384 1
a 40 202 16
a 40 183 13
a 40 426 14
a 40 727 11
a 40 574 2
a 40 550 19
a 40 145 10
a 40 362 2
a 40 595 12
a 40 115 5
a 40 673 8
a 40 597 8
a 40 380 5
a 41 747 8
a 41 202 14
a 41 564 1
a 41 708 15
a 41 674 19
a 41 531 17
a 41 565 8
a 41 696 19
a 41 402 12
a 41 80 20
a 41 649 1
a 41 304 14
a 41 425 7
a 41 482 15
a 41 536 13
a 41 612 9
a 41 434 17
a 41 493 6
a 41 771 18
a 41 545 3
a 41 574 10
a 42 507 1
a 42 200 12
a 42 351 10
a 42 547 19
a 42 315 11
a 42 404 2
a 42 422 12
a 42 255 2
a 42 707 4
a 42 736 13
a 42 214 12
a 42 663 13
a 42 669 12
a 42 760 19
a 42 673 2
a 42 303 18
a 42 259 7
a 42 512 15
a 43 630 11
a 43 364 19
a 43 574 14
a 43 784 17
a 43 624 1
a 43 97 17
a 43 701 20
a 43 636 20
a 43 159 10
a 43 91 8
a 43 282 20
a 43 354 20
a 43 725 19
a 43 446 11
a 43 613 9
a 43 361 5
a 43 161 12
a 43 223 10
a 44 511 8
a 44 303 8
a 44 180 15
a 44 98 3
a 44 179 13
a 44 362 14
a 44 602 1
a 44 678 10
a 44 514 3
a 44 583 1
a 44 551 5
a 44 207 7
a 44 253 10
a 44 306 9
a 44 315 10
a 44 730 11
a 44 78 17
a 44 411 14
a 44 733 11
a 44 286 18
a 44 604 13
a 44 473 13
a 44 516 18
a 44 274 16
a 44 191 12
a 44 378 18
a 44 99 13
a 44 339 15
a 44 205 18
a 44 317 15
a 44 638 1
a 45 489 12
a 45 574 13
a 45 299 3
a 45 257 13
a 45 75 17
a 45 476 6
a 45 604 20
a 45 446 9
a 45 188 15
a 45 386 7
a 45 286 1
a 45 679 15
a 45 281 1
a 45 557 12
a 45 670 16
a 45 427 13
a 45 249 11
a 45 739 12
a 45 759 16
a 45 751 1
a 46 442 16
a 46 370 10
a 46 713 4
a 46 616 6
a 46 660 6
a 46 376 17
a 46 675 9
a 46 488 11
a 46 113 3
a 46 122 2
a 46 378 6
a 46 146 14
a 46 217 12
a 46 295 9
a 46 604 9
a 46 511 18
a 47 767 3
a 47 275 4
a 47 236 18
a 47 491 17
a 47 306 19
a 47 209 20
a 47 578 11
a 47 641 18
a 47 560 1
a 47 59 10
a 47 281 7
a 47 391 7
a 47 519 6
a 47 683 8
a 47 354 8
a 47 304 3
a 47 80 15
a 47 329 5
a 47 396 16
a 47 681 14
a 47 193 5
a 47 301 5
a 48 643 6
a 48 744 12
a 48 262 20
a 48 690 14
a 48 499 4
a 48 521 4
a 48 376 18
a 48 407 18
a 48 329 14
a 48 143 13
a 48 388 2
a 48 445 8
a 48 506 1
a 48 667 1
a 48 361 15
a 48 72 6
a 48 362 2
a 48 747 20
a 48 384 1
a 48 417 8
a 48 664 8
a 48 349 14
a 49 770 18
a 49 346 11
a 49 691 20
a 49 349 12
a 49 216 4
a 49 69 15
a 49 106 18
a 49 455 12
a 49 288 13
a 49 111 4
a 49 86 16
a 49 403 15
a 49 704 10
a 49 494 20
a 49 798 5
a 49 78 15
a 50 282 6
a 50 296 17
a 50 559 10
a 50 514 7
a 50 120 7
a 50 224 4
a 50 544 3
a 50 535 19
a 50 433 3
a 50 199 8
a 50 78 18
a 50 475 19
a 50 448 2
a 50 188 9
a 50 299 12
a 50 635 7
a 51 329 5
a 51 581 20
a 51 174 17
a 51 462 19
a 51 541 6
a 51 338 12
a 51 154 9
a 51 607 17
a 51 279 17
a 51 408 13
a 51 676 14
a 51 566 16
a 51 630 2
a 51 795 12
a 51 703 18
a 51 562 12
a 51 643 13
a 51 149 6
a 51 403 11
a 52 535 12
a 52 608 4
a 52 540 3
a 52 183 13
a 52 728 14
a 52 102 13
a 52 388 20
a 52 550 6
a 52 69 18
a 52 474 5
a 52 762 15
a 52 737 8
a 52 100 18
a 52 730 20
a 52 772 1
a 52 479 11
a 52 115 9
a 52 602 16
a 52 681 9
a 52 161 10
a 52 639 15
a 52 74 1
a 52 641 14
a 53 516 19
a 53 109 11
a 53 558 20
a 53 678 18
a 53 766 17
a 53 129 6
a 53 788 18
a 53 340 12
a 53 188 7
a 53 731 18
a 53 669 18
a 53 141 11
a 53 637 3
a 53 755 18
a 53 553 14
a 53 491 3
a 53 695 1
a 53 654 5
a 53 183 14
a 54 791 6
a 54 721 2
a 54 341 9
a 54 185 10
a 54 782 7
a 54 230 9
a 54 554 19
a 54 264 6
a 54 261 6
a 54 294 11
a 54 201 1
a 54 560 6
a 54 92 18
a 54 797 5
a 54 483 12
a 54 780 10
a 54 647 14
a 55 406 20
a 55 370 8
a 55 295 2
a 55 302 17
a 55 290 4
a 55 346 1
a 55 211 1
a 55 730 2
a 55 255 5
a 55 734 13
a 55 322 19
a 55 562 11
a 55 726 18
a 55 197 5
a 55 306 17
a 55 96 13
a 55 420 2
a 55 756 20
a 55 260 3
a 55 384 17
a 55 526 20
a 55 772 7
a 56 328 16
a 56 316 8
a 56 545 11
a 56 197 19
a 56 439 12
a 56 538 6
a 56 573 13
a 56 122 18
a 56 259 17
a 56 561 2
a 56 526 3
a 56 186 16
a 56 91 10
a 56 678 15
a 56 393 20
a 56 396 14
a 56 699 15
a 56 766 2
a 56 670 20
a 56 604 5
a 56 341 13
a 56 64 19
a 56 675 5
a 57 682 7
a 57 74 6
a 57 275 11
a 57 317 10
a 57 529 5
a 57 249 14
a 57 349 7
a 57 298 2
a 57 202 13
a 57 76 4
a 57 691 6
a 57 726 7
a 57 706 10
a 57 497 13
a 57 280 7
a 58 339 14
a 58 652 10
a 58 680 18
a 58 509 4
a 58 447 20
a 58 141 10
a 58 109 13
a 58 593 11
a 58 788 14
a 58 95 17
a 58 374 6
a 58 609 4
a 58 395 6
a 59 475 20
a 59 756 20
a 59 166 18
a 59 260 20
a 59 775 3
a 59 330 19
a 59 644 12
a 59 102 13
a 59 440 10
a 59 570 18
a 59 524 18
a 59 758 13
a 59 324 2
a 59 677 9
a 59 378 20
a 59 211 20
a 59 312 9
a 59 660 15
a 59 673 16
a 59 739 6
a 60 797 11
a 60 740 18
a 60 158 19
a 60 194 15
a 60 404 1
a 60 702 16
a 60 278 1
a 60 368 12
a 60 229 7
a 60 210 16
a 60 542 2
a 60 607 17
a 60 189 13
a 60 185 15
a 60 87 11
a 60 136 9
a 60 230 20
a 60 269 5
a 60 260 13
a 60 97 11
a 60 181 15
a 61 332 20
a 61 746 19
a 61 764 4
a 61 204 3
a 61 574 8
a 61 192 6
a 61 715 5
a 61 399 9
a 61 526 13
a 61 547 19
a 61 745 4
a 61 748 2
a 61 284 1
a 61 468 9
a 61 783 16
a 61 564 11
a 61 734 12
a 61 123 16
a 61 132 11
a 61 680 13
a 62 699 20
a 62 584 15
a 62 711 1
a 62 159 11
a 62 249 18
a 62 148 13
a 62 408 20
a 62 585 5
a 62 444 3
a 62 136 6
a 62 436 3
a 62 452 2
a 62 93 8
a 62 102 17
a 62 361 12
a 62 579 7
a 62 78 17
a 62 151 19
a 62 504 19
a 62 235 6
a 62 79 13
a 63 209 20
a 63 485 2
a 63 581 12
a 63 377 4
a 63 694 10
a 63 589 7
a 63 770 10
a 63 76 16
a 63 404 9
a 63 428 9
a 63 690 14
a 63 501 8
a 63 250 11
a 63 520 2
a 63 767 14
a 63 336 3
a 63 440 6
a 63 563 9
a 63 200 20
a 63 97 10
a 63 574 12
a 64 164 9
a 64 152 16
a 64 584 14
a 64 288 20
a 64 561 20
a 64 471 7
a 64 660 6
a 64 191 10
a 64 218 7
a 64 238 18
a 64 436 20
a 64 378 11
a 64 343 18
a 64 720 14
a 64 264 13
a 64 233 13
a 64 235 16
a 64 579 17
a 64 696 20
a 65 533 20
a 65 186 1
a 65 623 9
a 65 768 9
a 65 366 19
a 65 298 1
a 65 297 20
a 65 724 12
a 65 249 13
a 65 240 8
a 65 161 4
a 65 123 16
a 65 651 6
a 65 577 11
a 65 140 7
a 65 797 15
a 65 522 5
a 65 534 5
a 65 167 4
a 66 445 13
a 66 482 5
a 66 581 3
a 66 253 10
a 66 704 5
a 66 676 17
a 66 606 3
a 66 590 17
a 66 368 17
a 66 256 16
a 66 157 14
a 66 656 15
a 66 361 3
a 66 275 9
a 66 201 17
a 66 214 9
a 66 102 16
a 66 193 18
a 66 158 7
a 67 357 15
a 67 322 4
a 67 76 7
a 67 261 15
a 67 359 19
a 67 788 15
a 67 569 10
a 67 128 15
a 67 189 10
a 67 490 3
a 67 620 3
a 67 733 3
a 67 270 20
a 67 650 20
a 67 94 14
a 68 692 20
a 68 422 13
a 68 173 13
a 68 733 13
a 68 607 4
a 68 657 3
a 68 643 20
a 68 475 2
a 68 595 10
a 68 689 2
a 68 227 5
a 68 265 16
a 68 697 9
a 68 714 7
a 68 645 11
a 68 730 16
a 68 764 10
a 68 402 5
a 68 376 3
a 68 522 12
a 68 417 6
a 69 239 17
a 69 129 8
a 69 315 4
a 69 708 9
a 69 469 1
a 69 588 5
a 69 606 4
a 69 552 7
a 69 296 7
a 69 134 11
a 69 768 4
a 69 195 2
a 69 218 4
a 69 526 19
a 69 541 8
a 69 209 19
a 69 698 10
a 69 475 10
a 69 231 3
a 70 390 10
a 70 711 15
a 70 344 6
a 70 159 6
a 70 636 18
a 70 288 11
a 70 135 10
a 70 282 17
a 70 523 20
a 70 229 18
a 70 331 5
a 70 295 14
a 70 739 15
a 70 71 12
a 70 223 1
a 70 637 7
a 71 471 2
a 71 655 1
a 71 254 19
a 71 92 9
a 71 122 6
a 71 790 16
a 71 511 19
a 71 438 13
a 71 331 4
a 71 416 7
a 71 133 16
a 71 593 7
a 71 144 18
a 71 634 1
a 71 663 3
a 71 225 12
a 71 189 11
a 71 191 18
a 71 664 16
a 72 269 19
a 72 302 19
a 72 439 15
a 72 156 6
a 72 540 18
a 72 113 2
a 72 360 20
a 72 679 10
a 72 572 16
a 72 454 11
a 72 169 7
a 72 566 20
a 72 458 9
a 72 437 4
a 73 655 16
a 73 708 5
a 73 74 16
a 73 541 10
a 73 416 4
a 73 645 5
a 73 425 2
a 73 211 7
a 73 273 6
a 73 623 4
a 73 610 20
a 73 500 16
a 73 359 20
a 73 801 20
a 73 654 10
a 73 749 12
a 74 511 4
a 74 719 17
a 74 181 10
a 74 159 4
a 74 350 15
a 74 139 15
a 74 75 9
a 74 655 6
a 74 742 6
a 74 83 11
a 74 199 11
a 74 433 7
a 74 105 18
a 74 145 11
a 74 543 17
a 74 330 12
a 74 467 13
a 74 792 20
a 74 245 7
a 75 347 3
a 75 629 11
a 75 508 17
a 75 566 9
a 75 147 19
a 75 151 11
a 75 705 13
a 75 601 18
a 75 771 15
a 75 613 9
a 75 100 11
a 75 158 15
a 75 215 8
a 75 658 20
a 75 731 9
a 75 137 10
a 75 92 6
a 76 228 4
a 76 230 19
a 76 506 11
a 76 307 16
a 76 798 19
a 76 272 10
a 76 692 14
a 76 568 3
a 76 198 19
a 76 243 3
a 76 794 14
a 76 693 18
a 76 508 9
a 76 470 5
a 76 346 1
a 76 516 4
a 77 785 20
a 77 358 11
a 77 662 12
a 77 565 6
a 77 737 4
a 77 620 9
a 77 530 10
a 77 700 14
a 77 508 17
a 77 178 9
a 77 609 3
a 77 287 5
a 77 608 3
a 77 104 12
a 77 365 7
a 77 779 8
a 78 199 16
a 78 392 13
a 78 440 19
a 78 511 11
a 78 229 4
a 78 220 7
a 78 82 12
a 78 745 16
a 78 219 2
a 78 161 3
a 78 338 11
a 78 408 5
a 78 500 12
a 78 431 16
a 78 751 13
a 78 117 10
a 78 295 11
a 78 573 20
a 78 249 15
a 78 127 5
a 78 429 17
a 78 456 2
a 78 182 11
a 78 157 9
a 78 125 11
a 79 299 5
a 79 462 18
a 79 571 12
a 79 529 11
a 79 128 15
a 79 336 5
a 79 147 4
a 79 140 5
a 79 185 9
a 79 540 10
a 79 415 4
a 79 709 2
a 79 348 6
a 79 130 8
a 79 247 5
a 79 691 12
a 79 370 2
a 79 655 10
a 79 421 20
a 79 101 6
a 79 364 20
a 79 94 11
a 80 182 6
a 80 470 18
a 80 618 14
a 80 510 5
a 80 261 14
a 80 197 13
a 80 547 1
a 80 769 13
a 80 228 4
a 80 595 1
a 80 322 14
a 80 214 2
a 80 302 15
a 80 485 17
a 80 129 18
a 80 318 4
a 80 747 8
a 80 220 4
a 80 241 20
a 80 308 19
a 80 513 14
a 80 109 13
a 80 346 7
a 80 148 9
a 81 493 16
a 81 144 1
a 81 101 16
a 81 654 5
a 81 440 15
a 81 185 3
a 81 163 12
a 81 681 19
a 81 647 1
a 81 475 12
a 81 609 2
a 81 85 6
a 81 226 14
a 81 362 12
a 82 775 9
a 82 288 14
a 82 261 11
a 82 609 12
a 82 277 10
a 82 634 18
a 82 620 10
a 82 579 6
a 82 724 14
a 82 217 8
a 82 490 16
a 82 732 4
a 82 254 9
a 82 272 3
a 82 731 16
a 82 502 17
a 82 100 10
a 82 93 8
a 82 771 3
a 82 733 16
a 82 406 14
a 83 731 3
a 83 213 13
a 83 198 15
a 83 251 18
a 83 451 4
a 83 487 7
a 83 751 17
a 83 160 13
a 83 519 2
a 83 683 8
a 83 289 10
a 83 191 3
a 83 258 12
a 83 587 4
a 83 231 18
a 83 255 8
a 83 292 13
a 83 322 17
a 83 362 15
a 83 779 10
a 83 136 20
a 84 512 14
a 84 631 15
a 84 736 1
a 84 313 7
a 84 613 3
a 84 262 6
a 84 675 12
a 84 734 15
a 84 217 19
a 84 435 7
a 84 737 2
a 84 120 4
a 84 522 11
a 84 687 7
a 84 428 19
a 84 280 2
a 84 309 2
a 84 561 14
a 85 429 9
a 85 286 9
a 85 358 17
a 85 323 6
a 85 724 14
a 85 788 11
a 85 408 20
a 85 786 7
a 85 300 3
a 85 677 20
a 85 611 20
a 85 422 6
a 85 678 15
a 85 199 5
a 85 702 6
a 86 448 6
a 86 516 5
a 86 153 16
a 86 118 19
a 86 641 18
a 86 686 19
a 86 452 9
a 86 330 7
a 86 610 18
a 86 625 10
a 86 168 3
a 86 550 9
a 86 512 13
a 87 565 1
a 87 229 9
a 87 667 3
a 87 656 18
a 87 452 1
a 87 98 10
a 87 692 14
a 87 119 12
a 87 461 13
a 87 746 17
a 87 661 5
a 87 136 19
a 87 573 10
a 87 457 12
a 87 662 11
a 87 111 6
a 87 628 8
a 87 491 4
a 87 645 10
a 87 236 18
a 87 428 10
a 87 227 16
a 88 132 7
a 88 337 20
a 88 728 3
a 88 298 18
a 88 678 1
a 88 401 7
a 88 439 6
a 88 203 4
a 88 335 13
a 88 235 4
a 88 731 18
a 88 178 13
a 88 529 19
a 89 251 5
