c Double Exponential Line
a 47 39 8195
a 47 168 13028
a 47 74 18374
a 47 25 9153
a 47 124 7086
a 47 160 19282
a 47 144 30569
a 48 24 30301
a 48 57 13510
a 48 44 16075
a 48 11 16894
a 48 9 9167
a 49 121 4461
a 49 124 28256
a 49 48 14903
a 49 19 1365
a 49 120 875
a 50 108 17224
a 50 10 1909
a 50 140 4416
a 50 38 24409
a 50 124 5968
a 51 187 12724
a 51 148 26949
a 51 24 28584
a 51 49 2377
a 51 196 5896
a 52 16 18704
a 52 110 17613
a 52 81 10698
a 52 105 15872
a 52 61 29427
a 52 10 7728
a 52 43 16829
a 52 12 7784
a 53 74 19794
a 53 162 17714
a 53 140 20268
a 54 25 28183
a 54 61 31311
a 54 56 12043
a 55 104 9258
a 55 122 1882
a 55 115 10939
a 55 143 24866
a 56 72 19811
a 56 170 1736
a 56 6 6767
a 56 33 23841
a 56 87 12434
a 56 79 29493
a 57 45 9524
a 57 72 30649
a 57 90 19813
a 57 98 16101
a 57 173 190
a 57 42 26842
a 58 131 1561
a 58 162 25012
a 58 36 28253
a 58 102 6194
a 59 125 11160
a 59 192 13579
a 59 53 6583
a 59 41 19791
a 60 53 31164
a 61 48 242
a 61 152 8671
a 61 120 17007
a 61 66 3518
a 62 162 13609
a 62 52 3094
a 62 5 15566
a 62 181 11785
a 62 80 20900
a 62 121 27754
a 63 89 8147
a 63 3 22913
a 63 29 15470
a 64 48 16879
a 64 84 21079
a 64 88 12579
a 64 180 9262
a 65 152 6480
a 65 12 6706
a 65 126 2188
a 65 3 7232
a 65 188 2017
a 66 154 14198
a 66 83 12456
a 66 92 29083
a 66 142 22432
a 66 98 10862
a 67 181 25679
a 67 109 19927
a 67 92 28681
a 67 56 4748
a 67 142 13233
a 67 146 8154
a 68 156 9982
a 68 48 2530
a 68 51 7173
a 69 54 15530
a 69 178 23695
a 69 64 31021
a 69 126 16698
a 69 45 3397
a 69 179 18167
a 70 75 3581
a 70 30 319
a 70 27 6086
a 70 150 27416
a 70 32 15814
a 70 142 18272
a 70 40 20711
a 71 77 543
a 71 8 5001
a 71 26 19414
a 71 48 29023
a 71 201 7769
a 72 149 3657
a 72 12 8107
a 72 118 4873
a 72 140 21782
a 72 20 3965
a 72 80 30222
a 72 145 13526
a 72 73 19096
a 73 123 2096
a 74 131 10081
a 74 19 10509
a 74 76 31203
a 74 185 10798
a 74 9 1837
a 75 22 1010
a 75 141 16226
a 75 34 19397
a 75 124 28316
a 76 150 8682
a 76 164 18662
a 76 62 24792
a 76 113 29106
a 76 158 24200
a 76 15 21980
a 76 190 22641
a 76 61 5304
a 77 118 21488
a 77 125 1595
a 78 124 15994
a 78 38 19780
a 78 63 12936
a 78 113 2089
a 78 148 29034
a 78 175 27197
a 79 105 14724
a 79 20 28802
a 79 51 29265
a 80 175 12655
a 80 41 1609
a 80 192 19883
a 80 145 15280
a 80 18 8739
a 80 143 3394
a 80 42 8056
a 80 75 23016
a 81 104 29446
a 82 8 14120
a 82 126 28383
a 82 18 7076
a 82 146 8185
a 82 64 27607
a 83 50 5908
a 83 157 14876
a 83 7 4581
a 83 89 2137
a 83 81 3433
a 83 16 8794
a 84 159 32469
a 84 71 6140
a 84 3 1696
a 84 88 18480
a 84 135 24177
a 84 42 25904
a 84 41 27006
a 85 195 24638
a 85 54 15892
a 85 188 8347
a 85 41 10688
a 85 72 25142
a 85 95 20503
a 85 66 8708
a 86 117 26868
a 86 26 32426
a 86 32 9468
a 86 137 28246
a 86 74 7812
a 87 12 30592
a 87 4 8045
a 87 133 31496
a 87 22 7532
a 87 98 10557
a 87 92 7976
a 87 60 26820
a 88 190 19612
a 88 69 24272
a 88 20 10723
a 88 28 17234
a 88 180 4751
a 88 58 10104
a 89 159 4381
a 89 35 16346
a 89 75 7470
a 89 106 1848
a 89 38 23942
a 89 79 31358
a 89 160 4043
a 89 168 20179
a 90 121 19553
a 90 3 26364
a 90 15 24066
a 90 38 14119
a 91 30 9493
a 92 171 31718
a 92 172 3918
a 92 88 28889
a 92 57 12687
a 92 106 25842
a 92 74 9274
a 93 94 25429
a 94 132 18424
a 94 99 20998
a 94 93 31152
a 95 106 12505
a 95 131 28000
a 95 109 4288
a 95 83 3272
a 95 72 26788
a 95 56 30582
a 95 127 176
a 96 39 20539
a 96 104 7671
a 96 125 10539
a 96 101 7747
a 96 27 19162
a 97 66 17104
a 97 48 30138
a 98 135 4435
a 98 191 22862
a 98 131 18155
a 98 184 1732
a 99 72 5159
a 99 12 507
a 99 128 7196
a 99 135 16475
a 99 53 10600
a 99 102 1605
a 100 49 21086
a 100 132 20084
a 100 129 8188
a 100 53 21110
a 101 171 20779
a 101 148 5046
a 101 62 31261
a 101 125 21266
a 102 33 4999
a 102 83 13038
a 102 69 4713
a 102 201 13574
a 102 16 1826
a 102 5 17283
a 102 36 18719
a 103 124 2481
a 103 81 13774
a 103 18 32073
a 104 2 7962
a 104 16 27701
a 104 21 25982
a 104 42 6725
a 104 168 21576
a 105 138 8073
a 105 163 6916
a 105 81 1624
a 106 163 32630
a 106 127 6863
a 106 139 12171
a 106 13 15039
a 107 185 25191
a 107 79 27735
a 107 167 18086
a 108 114 21479
a 108 144 4633
a 108 186 25809
a 108 194 2557
a 108 110 16340
a 108 167 14985
a 108 84 2291
a 109 38 17261
a 109 176 18843
a 109 123 14805
a 109 90 20687
a 109 95 26386
a 109 10 10143
a 110 25 15442
a 110 86 24959
a 110 100 14490
a 110 37 23102
a 110 96 10952
a 110 48 17585
a 110 91 8008
a 111 174 28393
a 111 59 17954
a 111 128 2452
a 111 173 27893
a 111 148 17108
a 112 115 25740
a 112 12 7471
a 112 22 26633
a 112 67 29757
a 112 128 17888
a 112 70 6767
a 112 117 490
a 113 54 6739
a 113 131 25632
a 113 161 26920
a 113 171 27761
a 114 8 1335
a 114 163 17118
a 114 14 16627
a 114 155 25315
a 115 76 29562
a 115 57 15145
a 115 158 11435
a 115 74 8273
a 116 95 27331
a 116 57 31462
a 116 33 16992
a 117 125 15568
a 117 6 28682
a 117 76 17158
a 117 73 5231
a 117 46 28403
a 117 107 5386
a 117 187 25368
a 117 180 1884
a 118 30 21605
a 118 163 16587
a 118 155 10999
a 118 73 13378
a 118 201 25791
a 118 18 24321
a 119 87 12055
a 119 7 12295
a 119 39 26161
a 119 14 24273
a 119 97 14855
a 119 126 29850
a 120 190 6539
a 120 186 7888
a 120 152 1898
a 120 66 11980
a 121 167 2513
a 121 88 5175
a 121 66 12938
a 122 139 26808
a 122 71 12528
a 122 187 14215
a 122 18 14963
a 122 188 6293
a 122 14 27394
a 123 49 27578
a 123 163 15128
a 123 8 1863
a 123 18 28241
a 123 101 14634
a 124 128 20786
a 124 57 21322
a 124 193 3294
a 124 134 12254
a 124 89 26881
a 124 24 26529
a 125 143 23988
a 125 184 30732
a 126 175 442
a 126 17 13844
a 126 160 19624
a 127 196 25198
a 127 70 24396
a 127 197 15949
a 127 14 11154
a 127 182 30324
a 127 198 29449
a 128 183 23995
a 128 129 10969
a 128 199 26901
a 128 76 19286
a 128 184 834
a 128 104 21841
a 129 62 14513
a 129 160 31035
a 129 20 7880
a 129 188 18012
a 129 2 13318
a 129 139 7604
a 129 77 29172
a 130 108 20541
a 130 138 16590
a 130 148 32687
a 130 115 11147
a 130 29 22006
a 131 133 18397
a 131 64 18458
a 131 48 24619
a 131 150 22313
a 131 67 28024
a 131 153 28314
a 132 152 8696
a 132 189 17930
a 132 54 16825
a 132 146 28214
a 132 15 23526
a 132 61 5647
a 133 4 2851
a 133 111 10749
a 133 44 19979
a 133 195 24029
a 133 191 26926
a 133 162 29012
a 133 168 10640
a 134 200 1422
a 134 163 3188
a 134 119 17094
a 134 187 25847
a 134 42 5718
a 134 57 18167
a 134 128 19992
a 134 198 2020
a 135 128 5696
a 135 153 17015
a 135 42 13150
a 135 11 10460
a 135 139 10985
a 135 194 18175
a 136 160 29272
a 136 118 10383
a 136 21 744
a 136 154 28149
a 136 89 20028
a 136 117 23169
a 137 125 16834
a 137 127 26866
a 137 115 29219
a 137 18 8445
a 137 172 20174
a 138 91 18707
a 138 56 907
a 138 174 17724
a 139 50 21706
a 139 75 4950
a 140 51 7673
a 140 115 12530
a 140 77 20123
a 140 85 23113
a 140 61 11951
a 140 123 27297
a 140 156 27090
a 141 49 12827
a 141 35 1057
a 141 176 11545
a 141 15 3315
a 141 100 27297
a 142 6 1145
a 142 187 21955
a 142 39 8685
a 142 171 7407
a 142 94 23232
a 142 67 13786
a 143 195 15001
a 143 70 25254
a 143 127 22483
a 143 34 26556
a 144 3 248
a 144 98 31865
a 144 48 16601
a 144 188 5034
a 144 128 17138
a 144 192 16130
a 144 33 15352
a 145 176 25898
a 145 165 10616
a 145 167 1664
a 145 86 14836
a 146 20 3773
a 146 199 26054
a 146 77 31123
a 146 55 24161
a 146 65 20085
a 146 117 24474
a 147 49 30743
a 147 30 29796
a 147 43 14429
a 147 2 1719
a 147 18 15339
a 147 47 24829
a 148 21 88
a 148 55 26728
a 148 153 25014
a 148 107 15619
a 149 98 9730
a 149 180 10007
a 149 96 25669
a 149 35 17119
a 149 159 28326
a 149 68 10286
a 149 28 14591
a 149 31 26201
a 150 4 1277
a 150 64 10846
a 150 37 2671
a 150 53 16142
a 150 67 21767
a 150 40 10507
a 151 6 503
a 151 171 30907
a 151 111 19096
a 151 7 3427
a 151 27 8240
a 152 34 5940
a 152 183 2648
a 152 13 2438
a 153 155 28470
a 153 72 1437
a 153 39 21359
a 153 93 18130
a 154 114 18260
a 154 191 5514
a 155 6 7244
a 155 146 20968
a 155 170 13311
a 155 8 139
a 155 27 4267
a 155 114 566
a 156 152 25525
a 156 87 8957
a 156 127 847
a 156 175 19253
a 157 98 9276
a 157 171 7667
a 157 159 31503
a 157 173 31506
a 157 161 17065
a 157 119 14625
a 157 43 1158
a 158 183 14551
a 158 116 5693
a 158 75 17777
a 158 74 3211
a 158 94 15897
a 158 154 28857
a 158 197 5533
a 159 105 6451
a 159 136 5611
a 159 93 13102
a 159 131 9426
a 159 183 6389
a 159 64 23117
a 160 155 10680
a 160 100 6754
a 160 96 22130
a 160 15 6006
a 160 147 20184
a 161 66 15258
a 161 68 27588
a 161 44 31156
a 161 3 3899
a 161 46 23159
a 162 167 416
a 162 101 19068
a 162 111 7612
a 162 132 8834
a 163 60 4913
a 163 189 16985
a 163 121 32037
a 163 146 1321
a 163 26 4121
a 164 137 11715
a 164 150 20482
a 164 46 3146
a 164 200 24547
a 164 117 20129
a 164 25 2885
a 164 77 17775
a 165 117 31755
a 165 96 24871
a 165 69 12489
a 165 40 4655
a 165 125 19905
a 165 47 10253
a 166 34 8437
a 167 27 841
a 167 115 486
a 167 138 13241
a 167 50 21548
a 168 8 1583
a 168 39 3571
a 168 35 11226
a 168 153 20312
a 168 80 13476
a 169 180 3206
a 169 173 31284
a 169 168 40
a 169 77 18299
a 169 145 18517
a 169 194 13977
a 169 75 22016
a 170 141 2187
a 170 134 30884
a 170 46 4111
a 170 118 30936
a 170 119 15714
a 170 193 16086
a 170 80 20980
a 171 109 31540
a 171 28 5129
a 171 130 6703
a 171 186 7246
a 171 126 23203
a 171 105 12122
a 172 178 5087
a 172 7 1174
a 172 187 20273
a 172 65 7
a 173 163 32518
a 173 101 28839
a 173 184 8314
a 173 88 3080
a 173 199 23180
a 173 200 30631
a 173 135 12526
a 173 39 8707
a 173 86 3339
a 173 57 29250
a 174 19 2547
a 174 198 25989
a 174 54 10967
a 174 117 2515
a 174 23 137
a 174 52 3007
a 174 141 16260
a 174 158 5542
a 174 185 11772
a 175 97 29214
a 175 7 1496
a 175 27 4972
a 175 106 26127
a 175 89 6154
a 175 33 216
a 176 62 5716
a 176 122 8597
a 176 33 896
a 177 4 27
a 177 36 7408
a 177 35 3584
a 177 133 26075
a 177 24 7579
a 177 112 6732
a 178 149 22859
a 178 48 1453
a 178 3 3788
a 178 10 1785
a 179 62 26256
a 179 27 2614
a 179 140 24391
a 179 121 26747
a 180 187 29157
a 180 133 24148
a 180 48 9832
a 180 8 67
a 180 127 10036
a 181 20 110
a 182 90 3916
a 182 7 2383
a 182 11 3383
a 182 18 733
a 182 16 804
a 182 202 400
a 183 119 6825
a 183 10 3820
a 183 135 3555
a 183 187 22845
a 183 165 11418
a 183 202 400
a 184 71 923
a 184 176 12255
a 184 167 9
a 184 162 10194
a 184 47 15353
a 184 30 1261
a 184 171 10930
a 184 202 400
a 185 44 2308
a 185 153 9504
a 185 92 16454
a 185 127 24349
a 185 59 7348
a 185 49 12510
a 185 163 16464
a 185 202 400
a 186 102 16159
a 186 189 24957
a 186 174 23533
a 186 66 3717
a 186 149 1230
a 186 202 400
a 187 115 27843
a 187 28 1988
a 187 173 15626
a 187 91 14853
a 187 202 400
a 188 54 15291
a 188 202 400
a 189 135 32483
a 189 191 19594
a 189 111 27480
a 189 202 400
a 190 25 2747
a 190 69 843
a 190 16 3083
a 190 179 11050
a 190 53 9145
a 190 84 27363
a 190 143 745
a 190 202 400
a 191 139 26225
a 191 128 31580
a 191 190 31598
a 191 170 10669
a 191 202 400
a 192 141 24566
a 192 128 8218
a 192 191 30788
a 192 155 21755
a 192 202 400
a 193 54 1158
a 193 180 21458
a 193 37 5951
a 193 189 18830
a 193 6 1042
a 193 192 23000
a 193 138 2358
a 193 98 21985
a 193 202 400
a 194 166 11135
a 194 202 400
a 195 18 2041
a 195 145 3060
a 195 91 25317
a 195 110 19030
a 195 126 26183
a 195 29 11
a 195 45 2793
a 195 113 31099
a 195 177 16736
a 195 14 773
a 195 202 400
a 196 124 2738
a 196 189 17158
a 196 38 4191
a 196 56 2950
a 196 143 2365
a 196 130 20950
a 196 202 400
a 197 88 22770
a 197 153 26041
a 197 95 28288
a 197 72 6851
a 197 176 8607
a 197 202 400
a 198 2 994
a 198 10 1761
a 198 37 2177
a 198 185 1684
a 198 202 400
a 199 145 27086
a 199 64 14956
a 199 202 400
a 200 183 17732
a 200 141 25530
a 200 169 27377
a 200 66 14947
a 200 202 400
a 201 101 6425
a 201 120 202
a 201 164 14727
a 201 118 13246
a 201 202 400
