c  Bad case for Goldberg
c 5000 vertices
a 2 4654 5000
a 2 4653 5000
a 2 4652 5000
a 2 4651 5000
a 2 4650 5000
a 2 4649 5000
a 2 4648 5000
a 2 4647 5000
a 2 4646 5000
a 2 4645 5000
a 2 4644 5000
a 2 4643 5000
a 2 4642 5000
a 2 4641 5000
a 2 4640 5000
a 2 4639 5000
a 2 4638 5000
a 2 4637 5000
a 2 4636 5000
a 2 4635 5000
a 2 4634 5000
a 2 4633 5000
a 2 4632 5000
a 2 4631 5000
a 2 4630 5000
a 2 4629 5000
a 2 4628 5000
a 2 4627 5000
a 2 4626 5000
a 2 4625 5000
a 2 4624 5000
a 2 4623 5000
a 2 4622 5000
a 2 4621 5000
a 2 4620 5000
a 2 4619 5000
a 2 4618 5000
a 2 4617 5000
a 2 4616 5000
a 2 4615 5000
a 2 4614 5000
a 2 4613 5000
a 2 4612 5000
a 2 4611 5000
a 2 4610 5000
a 2 4609 5000
a 2 4608 5000
a 2 4607 5000
a 2 4606 5000
a 2 4605 5000
a 2 4604 5000
a 2 4603 5000
a 2 4602 5000
a 2 4601 5000
a 2 4600 5000
a 2 4599 5000
a 2 4598 5000
a 2 4597 5000
a 2 4596 5000
a 2 4595 5000
a 2 4594 5000
a 2 4593 5000
a 2 4592 5000
a 2 4591 5000
a 2 4590 5000
a 2 4589 5000
a 2 4588 5000
a 2 4587 5000
a 2 4586 5000
a 2 4585 5000
a 2 4584 5000
a 2 4583 5000
a 2 4582 5000
a 2 4581 5000
a 2 4580 5000
a 2 4579 5000
a 2 4578 5000
a 2 4577 5000
a 2 4576 5000
a 2 4575 5000
a 2 4574 5000
a 2 4573 5000
a 2 4572 5000
a 2 4571 5000
a 2 4570 5000
a 2 4569 5000
a 2 4568 5000
a 2 4567 5000
a 2 4566 5000
a 2 4565 5000
a 2 4564 5000
a 2 4563 5000
a 2 4562 5000
a 2 4561 5000
a 2 4560 5000
a 2 4559 5000
a 2 4558 5000
a 2 4557 5000
a 2 4556 5000
a 2 4555 5000
a 2 4554 5000
a 2 4553 5000
a 2 4552 5000
a 2 4551 5000
a 2 4550 5000
a 2 4549 5000
a 2 4548 5000
a 2 4547 5000
a 2 4546 5000
a 2 4545 5000
a 2 4544 5000
a 2 4543 5000
a 2 4542 5000
a 2 4541 5000
a 2 4540 5000
a 2 4539 5000
a 2 4538 5000
a 2 4537 5000
a 2 4536 5000
a 2 4535 5000
a 2 4534 5000
a 2 4533 5000
a 2 4532 5000
a 2 4531 5000
a 2 4530 5000
a 2 4529 5000
a 2 4528 5000
a 2 4527 5000
a 2 4526 5000
a 2 4525 5000
a 2 4524 5000
a 2 4523 5000
a 2 4522 5000
a 2 4521 5000
a 2 4520 5000
a 2 4519 5000
a 2 4518 5000
a 2 4517 5000
a 2 4516 5000
a 2 4515 5000
a 2 4514 5000
a 2 4513 5000
a 2 4512 5000
a 2 4511 5000
a 2 4510 5000
a 2 4509 5000
a 2 4508 5000
a 2 4507 5000
a 2 4506 5000
a 2 4505 5000
a 2 4504 5000
a 2 4503 5000
a 2 4502 5000
a 2 4501 5000
a 2 4500 5000
a 2 4499 5000
a 2 4498 5000
a 2 4497 5000
a 2 4496 5000
a 2 4495 5000
a 2 4494 5000
a 2 4493 5000
a 2 4492 5000
a 2 4491 5000
a 2 4490 5000
a 2 4489 5000
a 2 4488 5000
a 2 4487 5000
a 2 4486 5000
a 2 4485 5000
a 2 4484 5000
a 2 4483 5000
a 2 4482 5000
a 2 4481 5000
a 2 4480 5000
a 2 4479 5000
a 2 4478 5000
a 2 4477 5000
a 2 4476 5000
a 2 4475 5000
a 2 4474 5000
a 2 4473 5000
a 2 4472 5000
a 2 4471 5000
a 2 4470 5000
a 2 4469 5000
a 2 4468 5000
a 2 4467 5000
a 2 4466 5000
a 2 4465 5000
a 2 4464 5000
a 2 4463 5000
a 2 4462 5000
a 2 4461 5000
a 2 4460 5000
a 2 4459 5000
a 2 4458 5000
a 2 4457 5000
a 2 4456 5000
a 2 4455 5000
a 2 4454 5000
a 2 4453 5000
a 2 4452 5000
a 2 4451 5000
a 2 4450 5000
a 2 4449 5000
a 2 4448 5000
a 2 4447 5000
a 2 4446 5000
a 2 4445 5000
a 2 4444 5000
a 2 4443 5000
a 2 4442 5000
a 2 4441 5000
a 2 4440 5000
a 2 4439 5000
a 2 4438 5000
a 2 4437 5000
a 2 4436 5000
a 2 4435 5000
a 2 4434 5000
a 2 4433 5000
a 2 4432 5000
a 2 4431 5000
a 2 4430 5000
a 2 4429 5000
a 2 4428 5000
a 2 4427 5000
a 2 4426 5000
a 2 4425 5000
a 2 4424 5000
a 2 4423 5000
a 2 4422 5000
a 2 4421 5000
a 2 4420 5000
a 2 4419 5000
a 2 4418 5000
a 2 4417 5000
a 2 4416 5000
a 2 4415 5000
a 2 4414 5000
a 2 4413 5000
a 2 4412 5000
a 2 4411 5000
a 2 4410 5000
a 2 4409 5000
a 2 4408 5000
a 2 4407 5000
a 2 4406 5000
a 2 4405 5000
a 2 4404 5000
a 2 4403 5000
a 2 4402 5000
a 2 4401 5000
a 2 4400 5000
a 2 4399 5000
a 2 4398 5000
a 2 4397 5000
a 2 4396 5000
a 2 4395 5000
a 2 4394 5000
a 2 4393 5000
a 2 4392 5000
a 2 4391 5000
a 2 4390 5000
a 2 4389 5000
a 2 4388 5000
a 2 4387 5000
a 2 4386 5000
a 2 4385 5000
a 2 4384 5000
a 2 4383 5000
a 2 4382 5000
a 2 4381 5000
a 2 4380 5000
a 2 4379 5000
a 2 4378 5000
a 2 4377 5000
a 2 4376 5000
a 2 4375 5000
a 2 4374 5000
a 2 4373 5000
a 2 4372 5000
a 2 4371 5000
a 2 4370 5000
a 2 4369 5000
a 2 4368 5000
a 2 4367 5000
a 2 4366 5000
a 2 4365 5000
a 2 4364 5000
a 2 4363 5000
a 2 4362 5000
a 2 4361 5000
a 2 4360 5000
a 2 4359 5000
a 2 4358 5000
a 2 4357 5000
a 2 4356 5000
a 2 4355 5000
a 2 4354 5000
a 2 4353 5000
a 2 4352 5000
a 2 4351 5000
a 2 4350 5000
a 2 4349 5000
a 2 4348 5000
a 2 4347 5000
a 2 4346 5000
a 2 4345 5000
a 2 4344 5000
a 2 4343 5000
a 2 4342 5000
a 2 4341 5000
a 2 4340 5000
a 2 4339 5000
a 2 4338 5000
a 2 4337 5000
a 2 4336 5000
a 2 4335 5000
a 2 4334 5000
a 2 4333 5000
a 2 4332 5000
a 2 4331 5000
a 2 4330 5000
a 2 4329 5000
a 2 4328 5000
a 2 4327 5000
a 2 4326 5000
a 2 4325 5000
a 2 4324 5000
a 2 4323 5000
a 2 4322 5000
a 2 4321 5000
a 2 4320 5000
a 2 4319 5000
a 2 4318 5000
a 2 4317 5000
a 2 4316 5000
a 2 4315 5000
a 2 4314 5000
a 2 4313 5000
a 2 4312 5000
a 2 4311 5000
a 2 4310 5000
a 2 4309 5000
a 2 4308 5000
a 2 4307 5000
a 2 4306 5000
a 2 4305 5000
a 2 4304 5000
a 2 4303 5000
a 2 4302 5000
a 2 4301 5000
a 2 4300 5000
a 2 4299 5000
a 2 4298 5000
a 2 4297 5000
a 2 4296 5000
a 2 4295 5000
a 2 4294 5000
a 2 4293 5000
a 2 4292 5000
a 2 4291 5000
a 2 4290 5000
a 2 4289 5000
a 2 4288 5000
a 2 4287 5000
a 2 4286 5000
a 2 4285 5000
a 2 4284 5000
a 2 4283 5000
a 2 4282 5000
a 2 4281 5000
a 2 4280 5000
a 2 4279 5000
a 2 4278 5000
a 2 4277 5000
a 2 4276 5000
a 2 4275 5000
a 2 4274 5000
a 2 4273 5000
a 2 4272 5000
a 2 4271 5000
a 2 4270 5000
a 2 4269 5000
a 2 4268 5000
a 2 4267 5000
a 2 4266 5000
a 2 4265 5000
a 2 4264 5000
a 2 4263 5000
a 2 4262 5000
a 2 4261 5000
a 2 4260 5000
a 2 4259 5000
a 2 4258 5000
a 2 4257 5000
a 2 4256 5000
a 2 4255 5000
a 2 4254 5000
a 2 4253 5000
a 2 4252 5000
a 2 4251 5000
a 2 4250 5000
a 2 4249 5000
a 2 4248 5000
a 2 4247 5000
a 2 4246 5000
a 2 4245 5000
a 2 4244 5000
a 2 4243 5000
a 2 4242 5000
a 2 4241 5000
a 2 4240 5000
a 2 4239 5000
a 2 4238 5000
a 2 4237 5000
a 2 4236 5000
a 2 4235 5000
a 2 4234 5000
a 2 4233 5000
a 2 4232 5000
a 2 4231 5000
a 2 4230 5000
a 2 4229 5000
a 2 4228 5000
a 2 4227 5000
a 2 4226 5000
a 2 4225 5000
a 2 4224 5000
a 2 4223 5000
a 2 4222 5000
a 2 4221 5000
a 2 4220 5000
a 2 4219 5000
a 2 4218 5000
a 2 4217 5000
a 2 4216 5000
a 2 4215 5000
a 2 4214 5000
a 2 4213 5000
a 2 4212 5000
a 2 4211 5000
a 2 4210 5000
a 2 4209 5000
a 2 4208 5000
a 2 4207 5000
a 2 4206 5000
a 2 4205 5000
a 2 4204 5000
a 2 4203 5000
a 2 4202 5000
a 2 4201 5000
a 2 4200 5000
a 2 4199 5000
a 2 4198 5000
a 2 4197 5000
a 2 4196 5000
a 2 4195 5000
a 2 4194 5000
a 2 4193 5000
a 2 4192 5000
a 2 4191 5000
a 2 4190 5000
a 2 4189 5000
a 2 4188 5000
a 2 4187 5000
a 2 4186 5000
a 2 4185 5000
a 2 4184 5000
a 2 4183 5000
a 2 4182 5000
a 2 4181 5000
a 2 4180 5000
a 2 4179 5000
a 2 4178 5000
a 2 4177 5000
a 2 4176 5000
a 2 4175 5000
a 2 4174 5000
a 2 4173 5000
a 2 4172 5000
a 2 4171 5000
a 2 4170 5000
a 2 4169 5000
a 2 4168 5000
a 2 4167 5000
a 2 4166 5000
a 2 4165 5000
a 2 4164 5000
a 2 4163 5000
a 2 4162 5000
a 2 4161 5000
a 2 4160 5000
a 2 4159 5000
a 2 4158 5000
a 2 4157 5000
a 2 4156 5000
a 2 4155 5000
a 2 4154 5000
a 2 4153 5000
a 2 4152 5000
a 2 4151 5000
a 2 4150 5000
a 2 4149 5000
a 2 4148 5000
a 2 4147 5000
a 2 4146 5000
a 2 4145 5000
a 2 4144 5000
a 2 4143 5000
a 2 4142 5000
a 2 4141 5000
a 2 4140 5000
a 2 4139 5000
a 2 4138 5000
a 2 4137 5000
a 2 4136 5000
a 2 4135 5000
a 2 4134 5000
a 2 4133 5000
a 2 4132 5000
a 2 4131 5000
a 2 4130 5000
a 2 4129 5000
a 2 4128 5000
a 2 4127 5000
a 2 4126 5000
a 2 4125 5000
a 2 4124 5000
a 2 4123 5000
a 2 4122 5000
a 2 4121 5000
a 2 4120 5000
a 2 4119 5000
a 2 4118 5000
a 2 4117 5000
a 2 4116 5000
a 2 4115 5000
a 2 4114 5000
a 2 4113 5000
a 2 4112 5000
a 2 4111 5000
a 2 4110 5000
a 2 4109 5000
a 2 4108 5000
a 2 4107 5000
a 2 4106 5000
a 2 4105 5000
a 2 4104 5000
a 2 4103 5000
a 2 4102 5000
a 2 4101 5000
a 2 4100 5000
a 2 4099 5000
a 2 4098 5000
a 2 4097 5000
a 2 4096 5000
a 2 4095 5000
a 2 4094 5000
a 2 4093 5000
a 2 4092 5000
a 2 4091 5000
a 2 4090 5000
a 2 4089 5000
a 2 4088 5000
a 2 4087 5000
a 2 4086 5000
a 2 4085 5000
a 2 4084 5000
a 2 4083 5000
a 2 4082 5000
a 2 4081 5000
a 2 4080 5000
a 2 4079 5000
a 2 4078 5000
a 2 4077 5000
a 2 4076 5000
a 2 4075 5000
a 2 4074 5000
a 2 4073 5000
a 2 4072 5000
a 2 4071 5000
a 2 4070 5000
a 2 4069 5000
a 2 4068 5000
a 2 4067 5000
a 2 4066 5000
a 2 4065 5000
a 2 4064 5000
a 2 4063 5000
a 2 4062 5000
a 2 4061 5000
a 2 4060 5000
a 2 4059 5000
a 2 4058 5000
a 2 4057 5000
a 2 4056 5000
a 2 4055 5000
a 2 4054 5000
a 2 4053 5000
a 2 4052 5000
a 2 4051 5000
a 2 4050 5000
a 2 4049 5000
a 2 4048 5000
a 2 4047 5000
a 2 4046 5000
a 2 4045 5000
a 2 4044 5000
a 2 4043 5000
a 2 4042 5000
a 2 4041 5000
a 2 4040 5000
a 2 4039 5000
a 2 4038 5000
a 2 4037 5000
a 2 4036 5000
a 2 4035 5000
a 2 4034 5000
a 2 4033 5000
a 2 4032 5000
a 2 4031 5000
a 2 4030 5000
a 2 4029 5000
a 2 4028 5000
a 2 4027 5000
a 2 4026 5000
a 2 4025 5000
a 2 4024 5000
a 2 4023 5000
a 2 4022 5000
a 2 4021 5000
a 2 4020 5000
a 2 4019 5000
a 2 4018 5000
a 2 4017 5000
a 2 4016 5000
a 2 4015 5000
a 2 4014 5000
a 2 4013 5000
a 2 4012 5000
a 2 4011 5000
a 2 4010 5000
a 2 4009 5000
a 2 4008 5000
a 2 4007 5000
a 2 4006 5000
a 2 4005 5000
a 2 4004 5000
a 2 4003 5000
a 2 4002 5000
a 2 4001 5000
a 2 4000 5000
a 2 3999 5000
a 2 3998 5000
a 2 3997 5000
a 2 3996 5000
a 2 3995 5000
a 2 3994 5000
a 2 3993 5000
a 2 3992 5000
a 2 3991 5000
a 2 3990 5000
a 2 3989 5000
a 2 3988 5000
a 2 3987 5000
a 2 3986 5000
a 2 3985 5000
a 2 3984 5000
a 2 3983 5000
a 2 3982 5000
a 2 3981 5000
a 2 3980 5000
a 2 3979 5000
a 2 3978 5000
a 2 3977 5000
a 2 3976 5000
a 2 3975 5000
a 2 3974 5000
a 2 3973 5000
a 2 3972 5000
a 2 3971 5000
a 2 3970 5000
a 2 3969 5000
a 2 3968 5000
a 2 3967 5000
a 2 3966 5000
a 2 3965 5000
a 2 3964 5000
a 2 3963 5000
a 2 3962 5000
a 2 3961 5000
a 2 3960 5000
a 2 3959 5000
a 2 3958 5000
a 2 3957 5000
a 2 3956 5000
a 2 3955 5000
a 2 3954 5000
a 2 3953 5000
a 2 3952 5000
a 2 3951 5000
a 2 3950 5000
a 2 3949 5000
a 2 3948 5000
a 2 3947 5000
a 2 3946 5000
a 2 3945 5000
a 2 3944 5000
a 2 3943 5000
a 2 3942 5000
a 2 3941 5000
a 2 3940 5000
a 2 3939 5000
a 2 3938 5000
a 2 3937 5000
a 2 3936 5000
a 2 3935 5000
a 2 3934 5000
a 2 3933 5000
a 2 3932 5000
a 2 3931 5000
a 2 3930 5000
a 2 3929 5000
a 2 3928 5000
a 2 3927 5000
a 2 3926 5000
a 2 3925 5000
a 2 3924 5000
a 2 3923 5000
a 2 3922 5000
a 2 3921 5000
a 2 3920 5000
a 2 3919 5000
a 2 3918 5000
a 2 3917 5000
a 2 3916 5000
a 2 3915 5000
a 2 3914 5000
a 2 3913 5000
a 2 3912 5000
a 2 3911 5000
a 2 3910 5000
a 2 3909 5000
a 2 3908 5000
a 2 3907 5000
a 2 3906 5000
a 2 3905 5000
a 2 3904 5000
a 2 3903 5000
a 2 3902 5000
a 2 3901 5000
a 2 3900 5000
a 2 3899 5000
a 2 3898 5000
a 2 3897 5000
a 2 3896 5000
a 2 3895 5000
a 2 3894 5000
a 2 3893 5000
a 2 3892 5000
a 2 3891 5000
a 2 3890 5000
a 2 3889 5000
a 2 3888 5000
a 2 3887 5000
a 2 3886 5000
a 2 3885 5000
a 2 3884 5000
a 2 3883 5000
a 2 3882 5000
a 2 3881 5000
a 2 3880 5000
a 2 3879 5000
a 2 3878 5000
a 2 3877 5000
a 2 3876 5000
a 2 3875 5000
a 2 3874 5000
a 2 3873 5000
a 2 3872 5000
a 2 3871 5000
a 2 3870 5000
a 2 3869 5000
a 2 3868 5000
a 2 3867 5000
a 2 3866 5000
a 2 3865 5000
a 2 3864 5000
a 2 3863 5000
a 2 3862 5000
a 2 3861 5000
a 2 3860 5000
a 2 3859 5000
a 2 3858 5000
a 2 3857 5000
a 2 3856 5000
a 2 3855 5000
a 2 3854 5000
a 2 3853 5000
a 2 3852 5000
a 2 3851 5000
a 2 3850 5000
a 2 3849 5000
a 2 3848 5000
a 2 3847 5000
a 2 3846 5000
a 2 3845 5000
a 2 3844 5000
a 2 3843 5000
a 2 3842 5000
a 2 3841 5000
a 2 3840 5000
a 2 3839 5000
a 2 3838 5000
a 2 3837 5000
a 2 3836 5000
a 2 3835 5000
a 2 3834 5000
a 2 3833 5000
a 2 3832 5000
a 2 3831 5000
a 2 3830 5000
a 2 3829 5000
a 2 3828 5000
a 2 3827 5000
a 2 3826 5000
a 2 3825 5000
a 2 3824 5000
a 2 3823 5000
a 2 3822 5000
a 2 3821 5000
a 2 3820 5000
a 2 3819 5000
a 2 3818 5000
a 2 3817 5000
a 2 3816 5000
a 2 3815 5000
a 2 3814 5000
a 2 3813 5000
a 2 3812 5000
a 2 3811 5000
a 2 3810 5000
a 2 3809 5000
a 2 3808 5000
a 2 3807 5000
a 2 3806 5000
a 2 3805 5000
a 2 3804 5000
a 2 3803 5000
a 2 3802 5000
a 2 3801 5000
a 2 3800 5000
a 2 3799 5000
a 2 3798 5000
a 2 3797 5000
a 2 3796 5000
a 2 3795 5000
a 2 3794 5000
a 2 3793 5000
a 2 3792 5000
a 2 3791 5000
a 2 3790 5000
a 2 3789 5000
a 2 3788 5000
a 2 3787 5000
a 2 3786 5000
a 2 3785 5000
a 2 3784 5000
a 2 3783 5000
a 2 3782 5000
a 2 3781 5000
a 2 3780 5000
a 2 3779 5000
a 2 3778 5000
a 2 3777 5000
a 2 3776 5000
a 2 3775 5000
a 2 3774 5000
a 2 3773 5000
a 2 3772 5000
a 2 3771 5000
a 2 3770 5000
a 2 3769 5000
a 2 3768 5000
a 2 3767 5000
a 2 3766 5000
a 2 3765 5000
a 2 3764 5000
a 2 3763 5000
a 2 3762 5000
a 2 3761 5000
a 2 3760 5000
a 2 3759 5000
a 2 3758 5000
a 2 3757 5000
a 2 3756 5000
a 2 3755 5000
a 2 3754 5000
a 2 3753 5000
a 2 3752 5000
a 2 3751 5000
a 2 3750 5000
a 2 3749 5000
a 2 3748 5000
a 2 3747 5000
a 2 3746 5000
a 2 3745 5000
a 2 3744 5000
a 2 3743 5000
a 2 3742 5000
a 2 3741 5000
a 2 3740 5000
a 2 3739 5000
a 2 3738 5000
a 2 3737 5000
a 2 3736 5000
a 2 3735 5000
a 2 3734 5000
a 2 3733 5000
a 2 3732 5000
a 2 3731 5000
a 2 3730 5000
a 2 3729 5000
a 2 3728 5000
a 2 3727 5000
a 2 3726 5000
a 2 3725 5000
a 2 3724 5000
a 2 3723 5000
a 2 3722 5000
a 2 3721 5000
a 2 3720 5000
a 2 3719 5000
a 2 3718 5000
a 2 3717 5000
a 2 3716 5000
a 2 3715 5000
a 2 3714 5000
a 2 3713 5000
a 2 3712 5000
a 2 3711 5000
a 2 3710 5000
a 2 3709 5000
a 2 3708 5000
a 2 3707 5000
a 2 3706 5000
a 2 3705 5000
a 2 3704 5000
a 2 3703 5000
a 2 3702 5000
a 2 3701 5000
a 2 3700 5000
a 2 3699 5000
a 2 3698 5000
a 2 3697 5000
a 2 3696 5000
a 2 3695 5000
a 2 3694 5000
a 2 3693 5000
a 2 3692 5000
a 2 3691 5000
a 2 3690 5000
a 2 3689 5000
a 2 3688 5000
a 2 3687 5000
a 2 3686 5000
a 2 3685 5000
a 2 3684 5000
a 2 3683 5000
a 2 3682 5000
a 2 3681 5000
a 2 3680 5000
a 2 3679 5000
a 2 3678 5000
a 2 3677 5000
a 2 3676 5000
a 2 3675 5000
a 2 3674 5000
a 2 3673 5000
a 2 3672 5000
a 2 3671 5000
a 2 3670 5000
a 2 3669 5000
a 2 3668 5000
a 2 3667 5000
a 2 3666 5000
a 2 3665 5000
a 2 3664 5000
a 2 3663 5000
a 2 3662 5000
a 2 3661 5000
a 2 3660 5000
a 2 3659 5000
a 2 3658 5000
a 2 3657 5000
a 2 3656 5000
a 2 3655 5000
a 2 3654 5000
a 2 3653 5000
a 2 3652 5000
a 2 3651 5000
a 2 3650 5000
a 2 3649 5000
a 2 3648 5000
a 2 3647 5000
a 2 3646 5000
a 2 3645 5000
a 2 3644 5000
a 2 3643 5000
a 2 3642 5000
a 2 3641 5000
a 2 3640 5000
a 2 3639 5000
a 2 3638 5000
a 2 3637 5000
a 2 3636 5000
a 2 3635 5000
a 2 3634 5000
a 2 3633 5000
a 2 3632 5000
a 2 3631 5000
a 2 3630 5000
a 2 3629 5000
a 2 3628 5000
a 2 3627 5000
a 2 3626 5000
a 2 3625 5000
a 2 3624 5000
a 2 3623 5000
a 2 3622 5000
a 2 3621 5000
a 2 3620 5000
a 2 3619 5000
a 2 3618 5000
a 2 3617 5000
a 2 3616 5000
a 2 3615 5000
a 2 3614 5000
a 2 3613 5000
a 2 3612 5000
a 2 3611 5000
